家具の種類,id,use,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z,scl.x,scl.y,scl.z,type,house_num,weight,price,ratio
花瓶,0,0,-111.241585,0.000000,-27.209000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,4,1,,10000
花瓶,1,0,-100.114250,0.000000,-77.777260,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,5,1,,10000
花瓶,2,1,67.864517,0.000000,116.548164,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,6,1,,10000
椅子,3,1,20.296669,0.000000,18.111122,0.000000,1.570796,0.000000,2.199999,2.199999,2.199999,1,4,2,,50000
椅子,4,1,40.020245,0.000000,32.028545,0.000000,4.721658,0.000000,2.049999,2.049999,2.049999,1,5,2,,50000
椅子,5,1,-22.243895,0.000000,85.704613,0.000000,0.009268,0.000000,1.849999,1.849999,1.849999,1,6,2,,50000
椅子,6,1,20.333925,0.000000,-13.851959,0.000000,4.721656,0.000000,2.049999,2.049999,2.049999,1,4,2,,50000
椅子,7,1,72.082855,0.000000,71.872002,0.000000,0.009268,0.000000,2.049999,2.049999,2.049999,1,5,2,,50000
椅子,8,1,-11.752989,0.000000,-1.632881,0.000000,3.150862,0.000000,1.849999,1.849999,1.849999,1,6,2,,50000
椅子,9,1,-35.703339,0.000000,18.111153,0.000000,4.712388,0.000000,2.049999,2.049999,2.049999,1,4,2,,50000
椅子,10,1,-11.880315,0.000000,67.834709,0.000000,3.141593,0.000000,2.049999,2.049999,2.049999,1,4,2,,50000
椅子,11,1,88.284111,0.000000,-9.633080,0.000000,1.570797,0.000000,1.849999,1.849999,1.849999,1,4,2,,50000
豚の貯金箱,12,0,195.796997,0.000000,-169.221558,0.000000,1.570796,0.000000,1.000000,1.000000,1.000000,2,7,1,,65535
豚の貯金箱,13,0,42.171833,0.000000,-3.121620,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,2,5,1,,10000
豚の貯金箱,14,0,34.326679,0.000000,40.237629,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,2,5,1,,100000
豚の貯金箱,15,0,10.529201,0.000000,-86.601372,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,2,6,1,,65535
豚の貯金箱,16,0,19.665009,0.000000,49.375336,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,2,6,1,,10000
豚の貯金箱,17,0,40.028107,0.000000,31.617674,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,2,6,1,,100000
豚の貯金箱,18,0,-118.139229,0.000000,29.449013,0.000000,0.000000,0.000000,1.500000,1.500000,1.500000,2,4,1,,65535
豚の貯金箱,19,0,30.621851,0.000000,-38.665169,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2,4,1,,10000
豚の貯金箱,20,0,69.291306,0.000000,58.464760,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2,4,1,,100000
指輪,21,0,211.911514,0.000000,-130.739883,0.000000,6.283185,0.000000,3.000000,3.000000,3.000000,3,5,1,,1410065408
指輪,22,0,-114.631447,0.000000,-13.194517,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,3,6,1,,1410065408
指輪,23,1,-11.789995,0.000000,60.577278,0.000000,3.141593,0.000000,1.000000,1.000000,1.000000,3,4,1,,1410065408
トイレ,24,1,112.625626,0.000000,91.911163,0.000000,0.000000,0.000000,1.100000,1.100000,1.100000,4,4,3,,300000
トイレ,25,1,104.293144,0.000000,-52.288616,0.000000,1.580064,0.000000,1.000000,1.000000,1.000000,4,5,3,,300000
トイレ,26,1,-94.635880,0.000000,-74.255287,0.000000,4.878737,0.000000,1.000000,1.000000,1.000000,4,6,3,,300000
トイレ,27,1,112.551460,0.000000,91.911514,0.000000,0.009268,0.000000,1.100000,1.100000,1.100000,4,5,3,,300000
トイレ,28,1,105.034599,0.000000,27.707916,0.000000,1.580064,0.000000,1.000000,1.000000,1.000000,4,5,3,,300000
トイレ,29,1,-100.516579,0.000000,-101.495575,0.000000,4.721660,0.000000,1.000000,1.000000,1.000000,4,6,3,,300000
机,30,1,54.774319,0.000000,-15.829293,0.000000,6.283185,0.000000,1.599999,1.599999,1.599999,5,4,4,,1000000
机,31,1,-9.225679,0.000000,20.170719,0.000000,6.283185,0.000000,1.599999,1.599999,1.599999,5,4,4,,1000000
机,32,1,72.186241,0.000000,33.543419,0.000000,0.000000,0.000000,1.599999,1.599999,1.599999,5,5,4,,1000000
机,33,1,-17.428976,0.000000,40.294609,0.000000,6.283185,0.000000,1.500000,1.500000,1.500000,5,6,4,,1000000
テレビ,34,1,-4.985387,0.000000,111.149216,0.000000,6.283185,0.000000,1.999999,1.999999,1.999999,6,4,3,,12000000
テレビ,35,1,-64.275749,0.000000,115.543137,0.000000,0.009268,0.000000,0.550001,0.550001,0.550001,6,5,3,,12000000
テレビ,36,1,-35.513878,0.000000,-97.980362,0.000000,1.580066,0.000000,1.650000,1.650000,1.650000,6,6,3,,12000000
金庫,37,0,-106.256493,0.000000,100.255386,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,7,4,4,,1410065408
金庫,38,0,243.853928,0.000000,279.430969,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,7,4,4,,5000000
金庫,39,0,-207.979477,0.000000,-153.819855,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,7,4,4,,7500000
金庫,40,0,-107.836967,0.000000,14.086214,0.000000,6.283185,0.000000,0.400000,0.400000,0.400000,7,5,4,,1410065408
金庫,41,0,11.714929,0.000000,12.695003,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,7,5,4,,5000000
