家具の種類,id,use,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z,scl.x,scl.y,scl.z,type,house_num,weight,price,ratio
花瓶,0,1,-51.499950,0.000000,90.972786,0.000000,4.743804,0.000000,1.000000,1.000000,1.000000,0,4,1,,10000
花瓶,1,1,-100.114250,0.000000,-77.777260,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,5,1,,10000
花瓶,2,1,67.864517,0.000000,116.548164,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0,6,1,,10000
椅子,3,1,-89.277603,0.000000,-90.548538,0.000000,4.775221,0.000000,1.450000,1.450000,1.450000,1,4,2,,50000
椅子,4,1,76.309616,0.000000,-0.612324,0.000000,3.141595,0.000000,2.049999,2.049999,2.049999,1,5,2,,50000
椅子,5,1,-62.542263,0.000000,-43.074444,0.000000,4.806641,0.000000,1.849999,1.849999,1.849999,1,6,2,,50000
椅子,6,1,-10.743722,0.000000,-89.918953,0.000000,1.633628,0.000000,1.450000,1.450000,1.450000,1,4,2,,50000
椅子,7,1,76.119728,0.000000,75.834740,0.000000,0.000000,0.000000,2.049999,2.049999,2.049999,1,5,2,,50000
椅子,8,1,8.036679,0.000000,-43.696453,0.000000,1.665047,0.000000,1.849999,1.849999,1.849999,1,6,2,,50000
豚の貯金箱,9,1,-117.497559,0.000000,-121.231850,0.000000,4.743807,0.000000,1.650000,1.650000,1.650000,2,4,1,,100000
指輪,10,1,-105.903847,0.000000,118.974373,0.000000,2.670356,0.000000,3.000000,3.000000,3.000000,3,5,1,,1410065408
トイレ,11,1,112.625626,0.000000,99.911163,0.000000,0.000000,0.000000,1.100000,1.100000,1.100000,4,4,3,,300000
トイレ,12,1,-96.254303,0.000000,-110.432419,0.000000,4.712390,0.000000,1.000000,1.000000,1.000000,4,5,3,,300000
トイレ,13,1,-97.190834,0.000000,86.044121,0.000000,5.717702,0.000000,1.000000,1.000000,1.000000,4,6,3,,300000
机,14,1,-42.714565,0.000000,-89.771225,0.000000,4.775219,0.000000,1.599999,1.599999,1.599999,5,4,4,,1000000
机,15,1,72.186241,0.000000,33.543419,0.000000,0.000000,0.000000,1.599999,1.599999,1.599999,5,5,4,,1000000
机,16,1,-16.953802,0.000000,-41.006046,0.000000,4.743806,0.000000,1.500000,1.500000,1.500000,5,6,4,,1000000
テレビ,17,1,33.832607,0.000000,4.532167,0.000000,1.602213,0.000000,1.050000,1.050000,1.050000,6,4,3,,12000000
テレビ,18,1,-57.139946,0.000000,-13.003924,0.000000,4.743806,0.000000,1.150000,1.150000,1.150000,6,4,3,,12000000
テレビ,19,1,5.790058,0.000000,56.291683,0.000000,0.031416,0.000000,1.350000,1.350000,1.350000,6,4,3,,12000000
テレビ,20,1,-18.661539,0.000000,-24.186110,0.000000,3.173009,0.000000,1.100000,1.100000,1.100000,6,4,3,,12000000
テレビ,21,1,-39.903973,0.000000,33.856941,0.000000,5.340709,0.000000,1.100000,1.100000,1.100000,6,4,3,,12000000
テレビ,22,1,-93.460999,0.000000,-12.191879,0.000000,3.173008,0.000000,1.750000,1.750000,1.750000,6,5,3,,12000000
テレビ,23,1,-33.526173,0.000000,-93.409187,0.000000,3.110179,0.000000,0.900001,0.900001,0.900001,6,6,3,,12000000
金庫,24,1,3.848932,0.000000,73.505112,0.000000,0.031416,0.000000,0.450000,0.450000,0.450000,7,4,4,,1410065408
タンス,25,1,-88.252861,0.000000,85.834183,0.000000,0.094248,0.000000,0.750000,0.750000,0.750000,8,4,5,,8000000
タンス,26,1,17.702160,0.000000,96.304054,0.000000,0.000003,0.000000,1.000000,1.000000,1.000000,8,5,5,,8000000
タンス,27,1,27.824783,0.000000,116.692993,0.000000,6.251771,0.000000,1.000000,1.000000,1.000000,8,6,5,,8000000
ベッド,28,1,-6.392272,0.000000,2.636311,0.000000,1.665044,0.000000,0.700000,0.700000,0.700000,9,4,5,,10000000
ベッド,29,1,-99.896088,0.000000,69.731209,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,9,5,5,,10000000
ベッド,30,1,90.027794,0.000000,54.066975,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,9,6,5,,10000000
ベッド,31,1,24.951380,0.000000,51.817001,0.000000,0.000004,0.000000,1.000000,1.000000,1.000000,9,6,5,,10000000
ベッド,32,1,90.027794,0.000000,54.066975,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,9,6,5,,10000000
ベッド,33,1,90.027794,0.000000,54.066975,0.000000,6.283185,0.000000,1.000000,1.000000,1.000000,9,6,5,,10000000
